Date,USDINR,USDJPY,USDGBP,USDEUR,USDCHF
2009-02,-5.28,0.12,-0.78,-1.78,0.02
2009-03,-4.82,0.08,-0.32,-1.32,0.58
2009-04,-4.6,0.05,-0.35,-1.1,0.45
2009-05,-4.57,0.08,-0.32,-0.82,1.18
2009-06,-4.54,0.11,-0.29,-0.79,1.21
2009-07,-4.59,0.06,-0.34,-0.84,1.36
2009-08,-4.59,0.06,-0.34,-0.84,0.96
2009-09,-4.6,0.05,-0.35,-0.85,1.05
2009-10,-4.63,0.02,-0.38,-0.88,0.92
2009-11,-4.63,0.02,-0.38,-0.88,0.12
2009-12,-4.63,0.02,-0.38,-0.88,-0.18
2010-01,-4.64,0.01,-0.39,-0.89,-0.89
2010-02,-4.62,0.03,-0.37,-0.87,-0.77
2010-03,-4.84,0.06,-0.34,-0.84,-1.24
2010-04,-5.05,0.1,-0.3,-0.8,-1.2
2010-05,-5.05,0.1,-0.3,-0.8,-0.9
2010-06,-5.07,0.08,-0.32,-0.82,-0.32
2010-07,-5.57,0.08,-0.32,-0.82,-0.22
2010-08,-5.56,0.09,-0.31,-0.81,-0.11
2010-09,-5.81,0.09,-0.31,-0.81,-0.11
2010-10,-5.81,0.09,-0.31,-0.81,-0.01
2010-11,-6.06,0.09,-0.31,-0.81,-0.01
2010-12,-6.07,0.08,-0.32,-0.82,-0.32
2011-01,-6.33,0.07,-0.33,-0.83,-0.13
2011-02,-6.34,0.06,-0.34,-0.84,-0.34
2011-03,-6.61,0.04,-0.36,-0.86,-0.86
2011-04,-6.65,0.0,-0.4,-1.15,-0.2
2011-05,-7.16,-0.01,-0.41,-1.16,-0.31
2011-06,-7.41,-0.01,-0.41,-1.16,-0.51
2011-07,-7.93,-0.03,-0.43,-1.43,-0.43
2011-08,-7.9,0.0,-0.4,-1.4,-0.1
2011-09,-8.17,-0.02,-0.42,-1.42,-0.42
2011-10,-8.43,-0.03,-0.43,-1.43,0.17
2011-11,-8.42,-0.02,-0.42,-1.17,0.58
2011-12,-8.43,-0.03,-0.43,-0.93,0.77
2012-01,-8.42,-0.02,-0.42,-0.92,0.88
2012-02,-8.4,0.0,-0.4,-0.9,1.0
2012-03,-8.37,0.03,-0.37,-0.87,1.13
2012-04,-7.86,0.04,-0.36,-0.86,1.14
2012-05,-7.84,0.06,-0.34,-0.84,1.16
2012-06,-7.84,0.06,-0.34,-0.84,1.26
2012-07,-7.84,0.06,-0.34,-0.59,0.86
2012-08,-7.87,0.03,-0.37,-0.62,0.63
2012-09,-7.86,0.04,-0.36,-0.61,0.54
2012-10,-7.84,0.06,-0.34,-0.59,0.36
2012-11,-7.84,0.06,-0.34,-0.59,0.56
2012-12,-7.84,0.06,-0.34,-0.59,0.56
2013-01,-7.61,0.04,-0.36,-0.61,0.44
2013-02,-7.6,0.05,-0.35,-0.6,0.45
2013-03,-7.36,0.04,-0.36,-0.61,0.74
2013-04,-7.35,0.05,-0.35,-0.6,0.75
2013-05,-7.14,0.01,-0.39,-0.39,0.61
2013-06,-7.16,-0.01,-0.41,-0.41,0.19
2013-07,-7.16,-0.01,-0.41,-0.41,0.09
2013-08,-7.17,-0.02,-0.42,-0.42,0.08
2013-09,-7.42,-0.02,-0.42,-0.42,0.18
2013-10,-7.66,-0.01,-0.41,-0.41,0.39
2013-11,-7.67,-0.02,-0.42,-0.17,-0.02
2013-12,-7.66,-0.01,-0.41,-0.16,-0.01
2014-01,-7.93,-0.03,-0.43,-0.18,-0.03
2014-02,-7.93,-0.03,-0.43,-0.18,0.17
2014-03,-7.92,-0.02,-0.42,-0.17,0.08
2014-04,-7.91,-0.01,-0.41,-0.16,0.09
2014-05,-7.91,-0.01,-0.41,-0.16,-0.11
2014-06,-7.9,0.0,-0.4,-0.05,0.1
2014-07,-7.91,-0.01,-0.41,-0.06,0.09
2014-08,-7.91,-0.01,-0.41,-0.06,-0.01
2014-09,-7.91,-0.01,-0.41,0.04,0.19
2014-10,-7.91,-0.01,-0.41,0.04,0.09
2014-11,-7.91,-0.01,-0.41,0.04,0.19
2014-12,-7.88,0.02,-0.38,0.07,0.42
2015-01,-7.64,0.01,-0.39,0.06,0.61
2015-02,-7.64,0.01,-0.39,0.06,0.91
2015-03,-7.39,0.01,-0.39,0.06,1.01
2015-04,-7.38,0.02,-0.38,0.07,1.22
2015-05,-7.38,0.02,-0.38,0.07,1.32
2015-06,-7.12,0.03,-0.37,0.08,1.13
2015-07,-7.12,0.03,-0.37,0.08,1.43
2015-08,-7.11,0.04,-0.36,0.09,1.54
2015-09,-6.61,0.04,-0.36,0.09,1.54
2015-10,-6.63,0.02,-0.38,0.07,1.52
2015-11,-6.63,0.02,-0.38,0.07,1.52
2015-12,-6.51,0.14,-0.26,0.19,1.54
2016-01,-6.41,0.24,-0.16,0.29,1.64
2016-02,-6.37,0.48,-0.12,0.33,1.18
2016-03,-6.39,0.46,-0.14,0.36,1.26
2016-04,-6.13,0.47,-0.13,0.37,0.77
2016-05,-6.13,0.47,-0.13,0.37,0.77
2016-06,-6.12,0.48,-0.12,0.38,0.78
